"","Date","Season","Defense.Count","Defense.MeanTOI","Defense.SDTOI","Defense.MinTOI","Defense.MaxTOI","Defense.xGF","Defense.xGA","Defense.xGF60","Defense.xGA60","Defense.MeanCFP","Defense.MeanFFP","Offense.MeanTOI","Offense.SDTOI","Offense.MinTOI","Offense.MaxTOI","Offense.xGF","Offense.xGA","Offense.xGF60","Offense.xGA60","Offense.MeanCFP","Offense.MeanFFP","TOI.ALL.S.S","GF.ALL.S.S","GA.ALL.S.S","PDO.ALL.S.S","TOI","CF.55.ADJ","CA.55.ADJ","FF.55.ADJ","FA.55.ADJ","xGF.55.ADJ","xGA.55.ADJ","SCF.55.ADJ","SCA.55.ADJ","CF60.55.ADJ","CA60.55.ADJ","CFP.55.ADJ","FF60.55.ADJ","FA60.55.ADJ","FFP.55.ADJ","xGF60.55.ADJ","xGA60.55.ADJ","xGFP.55.ADJ","SCF60.55.ADJ","SCA60.55.ADJ","SCFP.55.ADJ","tC60","tF60","tSC60","GDiff.ALL.S.S","WLT"
"1",2013-03-14,"2012-2013","Six",17.84,3.14286493505528,12.42,20.45,0.27,0.436666666666667,0.886666666666667,1.45,40.995,38.465,16.25,2.29905197853376,13.42,19.09,0.285,0.331666666666667,1.04,1.23833333333333,44.935,42.86,60,0,2,93.1,53.52,36.01,47.87,24.56,35.36,0.81,1.31,0.67,2.14,40.37,53.67,42.93,27.53,39.64,40.99,0.91,1.47,38.22,0.76,2.4,23.95,94.04,67.17,3.16,-2,-1
"2",2013-03-05,"2012-2013","Six",16.4883333333333,1.32796711806681,14.23,18.06,0.68,0.433333333333333,2.43333333333333,1.58666666666667,44.205,44.4866666666667,14.1583333333333,1.64986565109607,12.92,17.14,0.288333333333333,0.333333333333333,1.25333333333333,1.41833333333333,27.3916666666667,26.77,60.01,5,2,112.59,49.47,31.39,37.92,25.37,30.28,2.03,1.27,9.13,1.51,38.07,46,45.28,30.77,36.73,45.59,2.46,1.54,61.55,11.08,1.83,85.82,84.07,67.5,12.91,3,1
"3",2013-03-04,"2012-2013","Six",16.2566666666667,2.71456564972496,12.65,20.1,0.643333333333333,0.545,2.49,1.98333333333333,58.5216666666667,61.95,15.5066666666667,2.22790185301477,13.79,18.73,0.588333333333333,0.565,2.26333333333333,2.20666666666667,56.9066666666667,58.5533333333333,59.99,3,4,98.21,49.08,57.45,40.01,43.08,28.51,1.92,1.64,6.68,5.52,70.23,48.91,58.95,52.66,34.85,60.18,2.35,2,54.04,8.17,6.74,54.77,119.14,87.51,14.91,-1,-1
"4",2013-02-24,"2012-2013","Six",17.7633333333333,4.50494247096083,12.06,22.95,0.646666666666667,0.595,2.24166666666667,1.935,50.1683333333333,53.93,15.5483333333333,1.8213667029642,13.58,17.56,0.658333333333333,0.455,2.56333333333333,1.77666666666667,57.0566666666667,59.5433333333333,60.01,3,5,87.27,53.46,41.64,41.28,29.17,26.97,1.94,1.79,0,0,46.74,46.33,50.22,32.74,30.27,51.96,2.17,2.01,51.96,0,0,NA,93.07,63.01,0,-2,-1
"5",2013-02-23,"2012-2013","Six",16.26,2.24536856662776,13.28,19.55,1.23333333333333,0.545,4.37333333333333,2.02,55.5733333333333,55.96,14.0016666666667,1.08843771832231,13.14,16.11,0.981666666666667,0.458333333333333,4.085,1.97833333333333,52.1016666666667,54.6383333333333,59.99,5,2,106.94,48.64,66.07,48.97,51.11,35.69,3.71,1.64,15.18,3.66,81.5,60.41,57.43,63.05,44.02,58.89,4.57,2.02,69.36,18.72,4.51,80.59,141.91,107.07,23.23,3,1
"6",2013-02-21,"2012-2013","Six",17.4716666666667,3.10568135304745,12.47,21.28,0.345,0.58,1.19166666666667,1.98666666666667,44.0766666666667,43.665,16.3916666666667,1.12595589019582,15.31,17.87,0.303333333333333,0.681666666666667,1.10833333333333,2.48166666666667,38.2866666666667,38.3133333333333,60.01,2,4,92.31,52.42,41.37,51.51,30.32,38.27,1.03,1.74,2.82,3.38,47.35,58.96,44.54,34.71,43.81,44.2,1.18,1.99,37.23,3.23,3.86,45.54,106.31,78.52,7.09,-2,-1
"7",2013-02-16,"2012-2013","Six",15.755,2.6699719099646,11.78,19.11,0.958333333333333,0.978333333333333,3.58333333333333,3.58666666666667,59.6633333333333,59.0016666666667,14.3933333333333,1.41354400945519,12.97,16.43,1.03833333333333,0.76,4.4,3.13666666666667,62.4366666666667,62.3716666666667,61.32,6,5,100,47.35,54.59,40.84,48.78,37.31,2.88,2.94,9.32,11.02,69.17,51.75,57.2,61.81,47.28,56.66,3.65,3.73,49.47,11.81,13.97,45.82,120.92,109.09,25.78,1,1
"8",2013-02-14,"2012-2013","Six",17.9916666666667,5.00443969557698,9.98,22.83,0.528333333333333,0.895,1.83833333333333,3.10333333333333,35.9883333333333,40.5,16.67,2.48744045154854,14.23,19.96,0.461666666666667,0.858333333333333,1.625,2.955,36.275,39.5233333333333,60.01,3,4,99.74,53.97,45.22,75.4,36.85,51.74,1.59,2.69,3.29,6.95,50.28,83.82,37.49,40.96,57.52,41.6,1.76,2.99,37.14,3.66,7.73,32.13,134.1,98.48,11.39,-1,-1
"9",2013-02-12,"2012-2013","Six",12.9933333333333,1.76975327847321,9.89,14.57,0.318333333333333,0.286666666666667,1.48333333333333,1.295,46.7016666666667,43.2266666666667,11.735,1.55383075011405,9.81,14.17,0.221666666666667,0.326666666666667,1.19,1.63,44.525,37.9616666666667,65,3,3,103.68,38.97,29.96,34.84,19.46,28.2,0.93,0.86,3.92,1.85,46.13,53.63,46.24,29.95,43.42,40.82,1.43,1.32,51.9,6.04,2.85,67.96,99.76,73.37,8.89,0,0
"10",2013-02-10,"2012-2013","Six",16.46,2.75551084193113,12.34,19.4,0.445,0.978333333333333,1.6,3.34666666666667,30.085,32.6616666666667,16.21,2.92363472410628,11.25,19.5,0.536666666666667,1.10333333333333,1.985,4.07166666666667,30.9266666666667,32.2416666666667,59.99,1,5,89.38,49.37,27.86,64.57,22.35,48.2,1.34,2.93,7.02,11.01,33.86,78.47,30.14,27.16,58.58,31.68,1.63,3.56,31.4,8.54,13.38,38.96,112.33,85.74,21.92,-4,-1
