"","Team","Date","TOI","CF","CA","FF","FA","SF","SA","GF","GA","xGF","xGA","SCF","SCA","OZS","DZS","NZS","OZF","DZF","NZF","FOW","FOL","PENT","PEND","GVA","TKA","RBF","RBA","RSF","RSA","CF60","CA60","CF%","C+/-","FF60","FA60","FF%","F+/-","SF60","SA60","SF%","S+/-","GF60","GA60","GF%","G+/-","xGF60","xGA60","xGF%","xG+/-","SCF60","SCA60","SCF%","SC+/-","OZS%","DZS%","NZS%","OZF%","DZF%","NZF%","ZSR","ZFR","PENDIFF","FO%","Sh%","Sv%","PDO","CSh%","CSv%","FSh%","FSv%","xFSh%","xFSv%","xPDO"
"1","T.B","2016-05-26",46.15,34.86,38.49,19.2,28.15,12.24,22.97,1.3,1.61,0.96,1.94,4.23,6.83,14,17,15,18,20,12,18,28,4,1,4,2,0,2,1,1,45.32,50.04,47.52,-3.63,24.96,36.6,40.55,-8.95,15.91,29.86,34.76,-10.73,1.69,2.09,44.62,-0.31,1.24,2.52,33.08,-0.98,5.5,8.89,38.24,-2.6,30.43,36.96,32.61,36,40,24,45.16,47.37,-3,39.13,10.61,92.99,103.6,3.72,95.82,6.76,94.28,4.99,93.12,98.11
"2","T.B","2016-05-24",52.45,52.26,52.69,38.67,42.97,27.01,27.64,2.48,3.79,1.65,1.99,3.72,3.89,30,17,17,31,19,12,35,29,2,0,14,6,3,1,2,7,59.79,60.27,49.8,-0.43,44.23,49.16,47.37,-4.3,30.9,31.62,49.42,-0.63,2.84,4.34,39.54,-1.31,1.89,2.28,45.33,-0.34,4.26,4.45,48.91,-0.17,46.88,26.56,26.56,50,30.65,19.35,63.83,62,-2,54.69,9.18,86.28,95.46,4.75,92.8,6.41,91.17,4.28,95.36,99.64
"3","T.B","2016-05-22",48.61,45.06,45.81,27.33,40.4,18.95,29.83,4.91,2.79,1.28,3.39,4.12,12.96,10,16,28,12,17,25,23,31,1,4,1,2,1,3,3,4,55.62,56.54,49.59,-0.75,33.73,49.87,40.35,-13.07,23.4,36.82,38.86,-10.87,6.07,3.45,63.76,2.12,1.58,4.19,27.43,-2.11,5.09,15.99,24.13,-8.84,18.52,29.63,51.85,22.22,31.48,46.3,38.46,41.38,3,42.59,25.93,90.64,116.56,10.91,93.9,17.98,93.09,4.69,91.6,96.29
"4","T.B","2016-05-20",41.03,35.61,45.17,30.39,38.13,25.33,29.62,3.85,1.84,2.48,2.29,10.98,7.19,16,14,19,20,18,14,23,26,4,3,4,3,2,2,4,1,52.07,66.05,44.08,-9.56,44.45,55.75,44.36,-7.73,37.03,43.31,46.09,-4.29,5.63,2.69,67.65,2.01,3.63,3.36,51.98,0.19,16.06,10.52,60.42,3.79,32.65,28.57,38.78,38.46,34.62,26.92,53.33,52.63,-1,46.94,15.21,93.78,108.99,10.82,95.92,12.67,95.17,8.17,93.98,102.15
"5","T.B","2016-05-18",50.09,46.03,67.69,34.81,57.04,26.75,45.16,1.77,2.78,1.82,3.77,4.84,12.01,14,22,16,16,24,13,21,31,3,1,10,6,1,4,0,7,55.13,81.09,40.47,-21.67,41.69,68.33,37.9,-22.24,32.04,54.1,37.19,-18.42,2.12,3.33,38.87,-1.01,2.18,4.52,32.49,-1.96,5.8,14.39,28.71,-7.18,26.92,42.31,30.77,30.19,45.28,24.53,38.89,40,-2,40.38,6.6,93.85,100.45,3.84,95.9,5.07,95.13,5.22,93.38,98.6
"6","T.B","2016-05-16",53.71,45.9,64.58,32.88,47.76,19.57,37.99,2.24,2.67,1.43,2.96,3.89,11.08,15,24,21,16,26,17,30,30,2,1,3,5,1,3,1,2,51.28,72.14,41.55,-18.68,36.73,53.35,40.78,-14.88,21.86,42.43,34,-18.42,2.5,2.98,45.64,-0.43,1.6,3.31,32.51,-1.54,4.34,12.38,25.97,-7.19,25,40,35,27.12,44.07,28.81,38.46,38.1,-1,50,11.45,92.98,104.42,4.88,95.87,6.81,94.41,4.34,93.79,98.14
"7","T.B","2016-05-13",46.43,47.82,38.84,32.99,25.31,21.4,18.69,2.05,0,2.21,1.56,9.99,5.21,13,15,14,13,19,10,16,26,4,2,4,5,1,3,0,0,61.79,50.19,55.18,8.98,42.63,32.7,56.59,7.68,27.66,24.15,53.39,2.72,2.65,0,100,2.05,2.85,2.02,58.56,0.65,12.91,6.73,65.74,4.79,30.95,35.71,33.33,30.95,45.24,23.81,46.43,40.62,-2,38.1,9.59,100,109.59,4.29,100,6.22,100,6.69,93.83,100.52
"8","T.B","2016-05-08",44,45.79,41.66,31.07,34.55,19.27,23.4,4.11,0,1.81,1.32,4.94,3.3,12,16,12,17,19,9,23,17,2,6,3,5,2,2,2,1,62.45,56.81,52.36,4.14,42.37,47.11,47.35,-3.48,26.28,31.9,45.17,-4.12,5.61,0,100,4.11,2.47,1.8,57.91,0.5,6.74,4.5,59.94,1.64,30,40,30,37.78,42.22,20,42.86,47.22,4,57.5,21.34,100,121.34,8.98,100,13.23,100,5.83,96.19,102.02
"9","T.B","2016-05-06",48.96,37.2,53.42,29.05,36.74,19.56,22.16,2.38,0,1.4,2.35,5.41,7.87,9,14,18,12,16,14,17,24,1,3,11,14,1,0,2,4,45.59,65.47,41.05,-16.22,35.6,45.03,44.16,-7.69,23.97,27.16,46.89,-2.6,2.92,0,100,2.38,1.72,2.88,37.3,-0.95,6.63,9.65,40.72,-2.46,21.95,34.15,43.9,28.57,38.1,33.33,39.13,42.86,2,41.46,12.18,100,112.18,6.41,100,8.2,100,4.82,93.59,98.41
"10","T.B","2016-05-03",46.86,64.11,45.44,42.28,34.35,34.29,29.37,2.61,2.8,3.07,3.21,15.26,16.2,11,15,22,15,18,16,20,28,3,4,2,1,1,1,1,1,82.09,58.19,58.52,18.67,54.14,43.98,55.18,7.93,43.9,37.61,53.86,4.92,3.34,3.59,48.26,-0.19,3.92,4.11,48.83,-0.15,19.54,20.74,48.51,-0.94,22.92,31.25,45.83,30.61,36.73,32.65,42.31,45.45,1,41.67,7.62,90.47,98.08,4.07,93.84,6.18,91.85,7.25,90.65,97.9
