"","Team","Date","TOI","CF","CA","FF","FA","SF","SA","GF","GA","xGF","xGA","SCF","SCA","OZS","DZS","NZS","OZF","DZF","NZF","FOW","FOL","PENT","PEND","GVA","TKA","RBF","RBA","RSF","RSA","CF60","CA60","CF%","C+/-","FF60","FA60","FF%","F+/-","SF60","SA60","SF%","S+/-","GF60","GA60","GF%","G+/-","xGF60","xGA60","xGF%","xG+/-","SCF60","SCA60","SCF%","SC+/-","OZS%","DZS%","NZS%","OZF%","DZF%","NZF%","ZSR","ZFR","PENDIFF","FO%","Sh%","Sv%","PDO","CSh%","CSv%","FSh%","FSv%","xFSh%","xFSv%","xPDO"
"1","T.B","2016-05-26",60,42,64,25,49,17,39,1,2,1.16,3.18,5,10,21,27,17,24,28,14,27,38,6,3,5,2,0,4,1,2,42,64,39.62,-22,25,49,33.78,-24,17,39,30.36,-22,1,2,33.33,-1,1.16,3.18,26.67,-2.03,5,10,33.33,-5,32.31,41.54,26.15,36.36,42.42,21.21,43.75,46.15,-3,41.54,5.88,94.87,100.75,2.38,96.88,4,95.92,4.63,93.5,98.13
"2","T.B","2016-05-24",59.99,60,55,45,47,31,34,2,5,1.96,2.33,4,4,31,21,18,32,22,14,39,31,3,1,17,6,3,1,2,7,60.01,55.01,52.17,5,45.01,47.01,48.91,-2,31.01,34.01,47.69,-3,2,5,28.57,-3,1.97,2.33,45.72,-0.37,4,4,50,0,44.29,30,25.71,47.06,32.35,20.59,59.62,59.26,-2,55.71,6.45,85.29,91.75,3.33,90.91,4.44,89.36,4.37,95.04,99.4
"3","T.B","2016-05-22",60.89,56,54,34,46,25,34,4,3,2.2,3.41,9,12,14,25,29,15,27,26,31,37,4,4,1,5,3,4,3,4,55.18,53.21,50.91,2,33.5,45.33,42.5,-12,24.63,33.5,42.37,-9,3.94,2.96,57.14,1,2.17,3.36,39.26,-1.21,8.87,11.82,42.86,-3,20.59,36.76,42.65,22.06,39.71,38.24,35.9,35.71,0,45.59,16,91.18,107.18,7.14,94.44,11.76,93.48,6.48,92.59,99.07
"4","T.B","2016-05-20",60,48,65,42,51,37,38,4,3,3.63,3.28,16,10,24,20,20,26,21,20,31,33,6,6,7,4,3,3,5,1,48,65,42.48,-17,42,51,45.16,-9,37,38,49.33,-1,4,3,57.14,1,3.63,3.28,52.55,0.35,16,10,61.54,6,37.5,31.25,31.25,38.81,31.34,29.85,54.55,55.32,0,48.44,10.81,92.11,102.92,8.33,95.38,9.52,94.12,8.65,93.57,102.22
"5","T.B","2016-05-18",60.01,50,78,38,65,28,48,2,4,2.21,4.47,7,16,19,26,19,23,27,16,30,34,5,3,11,7,2,4,1,7,49.99,77.99,39.06,-28,37.99,64.99,36.89,-27,28,47.99,36.84,-20,2,4,33.33,-2,2.2,4.47,33.05,-2.26,7,16,30.43,-9,29.69,40.62,29.69,34.85,40.91,24.24,42.22,46,-2,46.88,7.14,91.67,98.81,4,94.87,5.26,93.85,5.8,93.13,98.93
"6","T.B","2016-05-16",60.66,44,69,31,52,21,41,2,3,1.42,3.27,4,13,17,27,22,17,27,18,33,33,2,1,3,5,1,3,1,2,43.52,68.25,38.94,-25,30.66,51.43,37.35,-21,20.77,40.55,33.87,-20,1.98,2.97,40,-1,1.41,3.24,30.26,-1.85,3.96,12.86,23.53,-9,25.76,40.91,33.33,27.42,43.55,29.03,38.64,38.64,-1,50,9.52,92.68,102.21,4.55,95.65,6.45,94.23,4.58,93.7,98.29
"7","T.B","2016-05-13",60,41,70,31,50,20,35,3,1,2.06,3.61,8,13,16,27,15,16,29,13,23,35,4,3,4,6,2,5,1,0,41,70,36.94,-29,31,50,38.27,-19,20,35,36.36,-15,3,1,75,2,2.06,3.61,36.39,-1.54,8,13,38.1,-5,27.59,46.55,25.86,27.59,50,22.41,37.21,35.56,-1,39.66,15,97.14,112.14,7.32,98.57,9.68,98,6.66,92.78,99.44
"8","T.B","2016-05-08",60,57,51,41,42,25,28,4,0,2.39,1.71,6,5,18,19,15,23,20,12,30,22,4,7,4,5,2,2,3,1,57,51,52.78,6,41,42,49.4,-1,25,28,47.17,-3,4,0,100,4,2.39,1.71,58.38,0.69,6,5,54.55,1,34.62,36.54,28.85,41.82,36.36,21.82,48.65,53.49,3,57.69,16,100,116,7.02,100,9.76,100,5.84,95.94,101.78
"9","T.B","2016-05-06",61.56,45,67,35,45,24,28,2,1,2.24,3.28,10,14,13,17,21,14,20,18,22,29,3,3,13,15,1,3,4,5,43.86,65.3,40.18,-22,34.11,43.86,43.75,-10,23.39,27.29,46.15,-4,1.95,0.97,66.67,1,2.19,3.2,40.61,-1.04,9.75,13.65,41.67,-4,25.49,33.33,41.18,26.92,38.46,34.62,43.33,41.18,0,43.14,8.33,96.43,104.76,4.44,98.51,5.71,97.78,6.41,92.7,99.12
"10","T.B","2016-05-03",62.81,73,59,50,47,41,39,5,4,3.74,4.62,18,22,19,23,23,20,26,19,27,38,5,5,4,4,1,1,1,1,69.73,56.36,55.3,14,47.76,44.9,51.55,3,39.17,37.26,51.25,2,4.78,3.82,55.56,1,3.57,4.41,44.75,-0.88,17.19,21.02,45,-4,29.23,35.38,35.38,30.77,40,29.23,45.24,43.48,0,41.54,12.2,89.74,101.94,6.85,93.22,10,91.49,7.48,90.17,97.65
